CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumValenceElectrons,qed,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,Chi0,Chi1,Kappa1,Kappa2,MaxPartialCharge,MinPartialCharge,pleas,edible
16741,163.245,2.3319,12.36,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.2222222222222222,2.0,11.0,56.0,0.4918366976623542,2.4484927862349917,249.5250600730738,-0.98,71.7803321957518,7.9413112998685556,5.431851652578137,8.119800399201598,4.777405278638739,0.05845584709009505,-0.23218960958503698,21.327272727272728,26.428571428571427
17121,170.25199999999998,2.684400000000001,26.3,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.7,2.0,12.0,70.0,0.34782535823692895,3.527709652400131,140.7740056622918,-0.79,74.60919435476539,9.397341225498538,5.701907262607799,11.21,6.891817639246214,0.3027177351831812,-0.45833314101559747,34.08,25.4
520191,154.23399999999998,2.56754,17.07,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.375,2.0,10.0,54.0,0.5680551217776018,3.1490468385975374,260.2213494932634,-0.6300000000000001,64.69305694753865,7.723614639131599,4.6090609052806215,7.476723585912486,2.5433001635181633,0.160415417582372,-0.2944688591695373,27.654545454545456,33.833333333333336
92979,270.41599999999994,4.684400000000005,17.07,0.0,1.0,0.0,4.0,0.0,4.0,2.0,0.7368421052631579,1.0,20.0,108.0,0.5838426993952915,1.6985318098146727,513.859291200017,-0.8500000000000001,122.06720050852684,13.957819157813608,9.528440544667594,12.85803418106589,4.084964388813322,0.1551972904372605,-0.29486596342184473,29.166666666666668,1.0
62580,222.23999999999995,2.1144999999999996,44.760000000000005,0.0,4.0,3.0,2.0,1.0,1.0,0.0,0.4166666666666667,4.0,16.0,86.0,0.734640003667697,1.9777741423516102,398.00527574751527,-1.71,94.11738244091178,11.543605595440512,7.664703797946449,10.796107985957985,4.428711845919409,0.30819897725888773,-0.460609864096211,48.275862068965516,4.5
24197,190.19499999999996,-0.1363999999999998,72.83000000000001,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.75,5.0,13.0,76.0,0.6108602902945158,3.777154537608688,177.3731996568919,-1.1,76.63821423990309,10.267584713501616,6.112590865130759,11.9,6.419740400216335,0.33505948901460053,-0.4658860107107757,41.4375,23.6
7476,150.17699999999996,1.8978,26.3,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.2222222222222222,2.0,11.0,58.0,0.6016592633823299,2.9138015626758045,248.77017257091032,-1.31,65.80129679223742,8.267584713501616,5.236382105218448,7.793199174406604,3.191164645691246,0.15930305126923566,-0.49676778972374963,68.8125,32.54545454545455
61252,102.15799999999999,0.6923999999999999,17.07,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.75,2.0,6.0,34.0,0.44740780364369315,2.3673518510178746,61.94833690207419,0.019999999999999962,41.112878342899144,4.405777393935816,2.893846850117352,4.18611295681063,1.6461962159398054,0.14306567247197066,-0.2987493036337664,21.4,26.875
24834,150.17699999999996,1.8978,26.3,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.2222222222222222,2.0,11.0,58.0,0.6149207423202788,2.7386001835586375,225.8229784140701,-1.31,65.80129679223742,8.104448006685086,5.363703305156274,7.793199174406604,3.7604813030666033,0.14955258132185154,-0.4938893382807438,67.37735849056604,36.55
7500,106.16799999999996,2.2490000000000006,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.0,8.0,42.0,0.5147578217927745,2.8320858350070908,141.38429890473827,-0.78,50.16128734829017,5.819990956308912,3.931851652578137,5.358504155124653,2.50834780755501,-0.03074408282510195,-0.06224874165506165,35.236363636363635,18.25
244,108.13999999999997,1.1788999999999998,20.23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,1.0,8.0,42.0,0.5723436119287516,2.8320858350070903,145.73281445033504,-0.8200000000000001,48.59057898608958,5.819990956308912,3.931851652578137,5.319275766016713,2.4782287289052554,0.06813693972174786,-0.3916804684282009,52.354166666666664,38.0
240,106.12399999999997,1.4990999999999999,17.07,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,40.0,0.4956362681365689,2.9910469146846217,167.00151696675914,-1.11,47.95786733393734,5.819990956308912,3.931851652578137,5.035137880986937,2.262450086021194,0.14954802883036308,-0.2978964116504968,61.50909090909091,34.42307692307692
7519,108.13999999999997,1.6952,9.23,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,1.0,8.0,42.0,0.5316253154127668,2.8320858350070908,145.73281445033504,-0.9800000000000001,48.90989046340045,5.819990956308912,3.931851652578137,5.162450142450142,2.3586048594225155,0.11835771513702233,-0.4967685686134766,29.296296296296298,2.5
7559,150.177,1.4021,26.3,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.2222222222222222,2.0,11.0,58.0,0.5955313782679573,2.57930229200732,228.57786591623355,-1.31,65.80129679223742,8.104448006685086,5.325698502695489,7.793199174406604,3.7604813030666033,0.30947665547201986,-0.468751659799673,42.89090909090909,35.4
7583,170.21099999999998,3.478900000000001,9.23,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,13.0,64.0,0.6700363845267113,2.1614757505786617,315.89864866417315,-1.7599999999999993,77.60204255506788,8.932875131431278,6.449489742783179,7.866895638429664,3.7642110484220974,0.1269277489093993,-0.45738459774589524,49.924528301886795,45.166666666666664
7593,210.27599999999998,3.0409000000000015,17.07,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.13333333333333333,1.0,16.0,80.0,0.7576756860336602,1.9521941477943934,401.875872027439,-1.8899999999999997,95.7448457687946,11.217332181807452,7.84333659290053,10.621930817508138,5.264651209596264,0.1411207371618759,-0.29896652156971787,32.68518518518518,41.166666666666664
60998,192.258,2.4283,26.3,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.4166666666666667,2.0,14.0,76.0,0.6847362487409066,2.345166078016039,277.63302033025855,-1.31,84.89612313542727,10.38890505706126,6.6815405503520555,10.76880220646178,5.426552817271863,0.30976211771485357,-0.4651579717608853,45.52,38.0
60999,226.27499999999998,2.972500000000001,26.3,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.13333333333333333,2.0,17.0,86.0,0.7490673049774552,1.8256631842294238,462.7951975036603,-2.0899999999999994,100.85839099830149,11.924438962994,8.34333659290053,11.397026134198455,5.8484003505478315,0.31009008983866226,-0.4605569705841003,31.0,25.75
